"RECORD_TYPE_CODE","RECORD_CATEGORY_CODE","REINSURANCE_YEAR","COMMODITY_YEAR","COMMODITY_CODE","COMMODITY_NAME","COMMODITY_ABBREVIATION","ANNUAL_PLANTING_CODE","LAST_RELEASED_DATE","RELEASED_DATE","DELETED_DATE"
"A00420","01","2023","2023","0332","Annual Forage","ANL FORAGE","A","","4/26/2022",""
"A00420","01","2023","2023","0333","Camelina","CAMEL","A","","11/16/2022",""
"A00420","01","2023","2023","0334","Hybrid Popcorn Seed","HYB POP CS","A","","11/16/2022",""
"A00420","01","2023","2023","0396","Sesame","SESAME","A","","11/16/2022",""
"A00420","01","2023","2023","0467","Pomegranates","POMEG","P","","10/27/2022",""
"A00420","01","2023","2023","0470","Pistachios","PISTACHIOS","P","","8/9/2022",""
"A00420","01","2023","2023","0501","Olives","OLIVE","P","","8/9/2022",""
"A00420","01","2023","2023","0801","Feeder Cattle","FDR CATTLE","N","","4/28/2022",""
"A00420","01","2023","2023","0802","Fed Cattle","FED CATTLE","N","","4/28/2022",""
"A00420","01","2023","2023","0803","Cattle","CATTLE","N","","4/28/2022",""
"A00420","01","2023","2023","0815","Swine","SWINE","N","","4/28/2022",""
"A00420","01","2023","2023","0830","Milk","MILK","N","","4/28/2022",""
"A00420","01","2023","2023","0847","Dairy Cattle","DAIRYCATLE","N","","4/28/2022",""
"A00420","01","2023","2023","1010","Nursery (NVS)","NUR NVS","N","","4/7/2022",""
"A00420","01","2023","2023","1191","Apiculture","APICULTURE","N","","8/24/2022",""
"A00420","01","2023","2023","1218","Hemp","HEMP","A","","11/16/2022",""
"A00420","01","2023","2023","6000","Caneberries","CANBR","P","","8/30/2022",""
"A00420","01","2023","2023","9110","Micro Farm","MCRFM","N","","8/30/2022",""
"A00420","01","2023","2024","0019","Avocados","AVOCADOS","P","","8/9/2022",""
"A00420","01","2023","2024","0023","Macadamia Nuts","MAC NUTS","P","","8/9/2022",""
"A00420","01","2023","2024","0073","Nursery (FG&C)","NUR FG&C","N","","12/21/2022",""
"A00420","01","2023","2024","0115","Oysters","OYSTERS","N","","1/25/2023",""
"A00420","01","2023","2024","0184","Apple Trees","APPTR","P","","12/21/2022",""
"A00420","01","2023","2024","0201","Grapefruit","GRAPEFRUIT","P","","8/9/2022",""
"A00420","01","2023","2024","0202","Lemons","LEMONS","P","","8/9/2022",""
"A00420","01","2023","2024","0203","Tangelos","TANGELOS","P","","8/9/2022",""
"A00420","01","2023","2024","0207","Orange Trees","ORANGETREE","P","","12/21/2022",""
"A00420","01","2023","2024","0208","Grapefruit Trees","GRPFT TREE","P","","12/21/2022",""
"A00420","01","2023","2024","0209","Lemon Trees","LEMONTREES","P","","12/21/2022",""
"A00420","01","2023","2024","0210","Lime Trees","LIME TREES","P","","12/21/2022",""
"A00420","01","2023","2024","0211","All Other Citrus Trees","AOCIT TREE","P","","12/21/2022",""
"A00420","01","2023","2024","0212","Avocado Trees","AVCD TREES","P","","12/21/2022",""
"A00420","01","2023","2024","0213","Carambola Trees","CARAMTREES","P","","12/21/2022",""
"A00420","01","2023","2024","0214","Mango Trees","MANGOTREES","P","","12/21/2022",""
"A00420","01","2023","2024","0227","Oranges","ORANGES","P","","8/9/2022",""
"A00420","01","2023","2024","0284","Pecan Trees","PECTR","P","","12/21/2022",""
"A00420","01","2023","2024","0309","Mandarins/Tangerines","MDTNG","P","","8/9/2022",""
"A00420","01","2023","2024","1010","Nursery (NVS)","NUR NVS","N","","12/21/2022",""
"A00420","01","2023","2024","1302","Tangors","TANGS","P","","8/9/2022",""
"A00420","01","2023","2024","9936","Limes","LIMES","P","","12/21/2022",""
