"RECORD_TYPE_CODE","RECORD_CATEGORY_CODE","REINSURANCE_YEAR","COMMODITY_CODE","TYPE_CODE","TYPE_NAME","TYPE_ABBREVIATION","LAST_RELEASED_DATE","RELEASED_DATE","DELETED_DATE"
"A00540","01","2023","0041","382","High Amylase","HAMLS","","11/16/2022",""
"A00540","01","2023","0041","383","Blue","BLUE","","11/16/2022",""
"A00540","01","2023","0041","739","High Amylose","HAMOS","","11/16/2022",""
"A00540","01","2023","0042","081","Early Golden & White","EGW","","11/16/2022",""
"A00540","01","2023","0042","082","Other Golden","OG","","11/16/2022",""
"A00540","01","2023","0042","997","No Type Specified","NTS","","11/16/2022",""
"A00540","01","2023","0043","997","No Type Specified","NTS","","11/16/2022",""
"A00540","01","2023","0044","997","No Type Specified","NTS","","4/7/2022",""
"A00540","01","2023","0045","201","Long Green New Mexican","LGNM","","11/16/2022",""
"A00540","01","2023","0045","202","Long Red New Mexican","LRNM","","11/16/2022",""
"A00540","01","2023","0045","203","Cayenne","CYNE","","11/16/2022",""
"A00540","01","2023","0045","204","Jalapeno","JLPO","","11/16/2022",""
"A00540","01","2023","0046","161","Group A - Snap Beans","GRA","","11/16/2022",""
"A00540","01","2023","0046","261","Group B - Snap Beans","GRB","","11/16/2022",""
"A00540","01","2023","0046","265","Chickpeas/Garbanzo & Large Kabuli","CGBLK","","11/16/2022",""
"A00540","01","2023","0046","301","Snap","SNB","","11/16/2022",""
"A00540","01","2023","0046","302","Limas","LIMA","","11/16/2022",""
"A00540","01","2023","0046","303","Baby Limas","BBLM","","11/16/2022",""
"A00540","01","2023","0046","304","Italian","ITAL","","11/16/2022",""
"A00540","01","2023","0046","305","Wax","WAX","","11/16/2022",""
"A00540","01","2023","0046","306","Petite","PET","","11/16/2022",""
"A00540","01","2023","0046","307","Green And Other Unlisted Types","GRNOTH","","11/16/2022",""
"A00540","01","2023","0047","062","Contract Seed Bean","CSB","","11/16/2022",""
"A00540","01","2023","0047","303","Black","BTS","","11/16/2022",""
"A00540","01","2023","0047","304","Cranberry","CBRY","","11/16/2022",""
"A00540","01","2023","0047","305","Dark Red Kidney","DRK","","11/16/2022",""
"A00540","01","2023","0047","307","Great Northern","GRNO","","11/16/2022",""
"A00540","01","2023","0047","308","Light Red Kidney","LRK","","11/16/2022",""
"A00540","01","2023","0047","309","Pea (Navy)","PNAV","","11/16/2022",""
"A00540","01","2023","0047","310","Pink","PNK","","11/16/2022",""
"A00540","01","2023","0047","311","Pinto","PTO","","11/16/2022",""
"A00540","01","2023","0047","312","Flat Small White","FSW","","11/16/2022",""
"A00540","01","2023","0047","313","Small Red","SMR","","11/16/2022",""
"A00540","01","2023","0047","314","Small White","SMW","","11/16/2022",""
"A00540","01","2023","0047","315","Blackeye","BEYE","","11/16/2022",""
"A00540","01","2023","0047","316","Yelloweye","YEYE","","11/16/2022",""
"A00540","01","2023","0047","318","White Kidney","WK","","11/16/2022",""
"A00540","01","2023","0047","319","Large Lima","LLIMA","","11/16/2022",""
"A00540","01","2023","0047","320","Baby Lima","BLIMA","","11/16/2022",""
"A00540","01","2023","0047","321","Adzuki","ADZ","","11/16/2022",""
"A00540","01","2023","0047","322","Tebo","TEBO","","11/16/2022",""
"A00540","01","2023","0047","323","Yellow","YEL","","11/16/2022",""
"A00540","01","2023","0047","324","Anasazi","ANZI","","11/16/2022",""
"A00540","01","2023","0049","997","No Type Specified","NTS","","8/9/2022",""
"A00540","01","2023","0050","216","Standard Planting Gr","SPG","","11/16/2022",""
"A00540","01","2023","0050","217","Standard Planting Fo","SPF","","11/16/2022",""
"A00540","01","2023","0050","218","Standard Planting Su","SPS","","11/16/2022",""
"A00540","01","2023","0050","316","Interplanting Grain","IG","","11/16/2022",""
"A00540","01","2023","0050","317","Interplanting Forage","IF","","11/16/2022",""
"A00540","01","2023","0051","009","Seed","SEED","","11/16/2022",""
"A00540","01","2023","0051","997","No Type Specified","NTS","","11/16/2022",""
"A00540","01","2023","0052","006","Beauty Seedless","BS","","8/9/2022",""
"A00540","01","2023","0052","032","Flame Seedless","FS","","8/9/2022",""
"A00540","01","2023","0052","033","Tokay/Tokay Flame","TTF","","8/9/2022",""
"A00540","01","2023","0052","063","Perlette","PTG","","8/9/2022",""
"A00540","01","2023","0052","064","Princess","PR","","8/9/2022",""
"A00540","01","2023","0052","065","Pristine","PST","","8/9/2022",""
"A00540","01","2023","0052","066","Great Green","GG","","8/9/2022",""
"A00540","01","2023","0052","067","Sweet Globe","SG","","8/9/2022",""
"A00540","01","2023","0052","068","Ivory","IV","","8/9/2022",""
"A00540","01","2023","0052","069","Allison","AL","","8/9/2022",""
"A00540","01","2023","0052","070","Krissy","KS","","8/9/2022",""
"A00540","01","2023","0052","075","Ribier","RBTG","","8/9/2022",""
"A00540","01","2023","0052","077","Ruby Seedless","RS","","8/9/2022",""
"A00540","01","2023","0052","086","Superior Seedless","SS","","8/9/2022",""
"A00540","01","2023","0052","088","Thompson Seedless","TS","","8/9/2022",""
"A00540","01","2023","0052","095","All Others","ALTG","","8/9/2022",""
"A00540","01","2023","0052","097","Christmas Rose","CR","","8/9/2022",""
"A00540","01","2023","0052","098","Crimson Seedless","CS","","8/9/2022",""
"A00540","01","2023","0052","104","Autumn Royal","AR","","8/9/2022",""
"A00540","01","2023","0052","166","Autumn King","ATM KG","","8/9/2022",""
"A00540","01","2023","0052","169","Red Globe","RG","","8/9/2022",""
"A00540","01","2023","0052","327","Midnight Beauty","MB","","8/9/2022",""
"A00540","01","2023","0052","328","Sweet Scarlet","SS","","8/9/2022",""
"A00540","01","2023","0052","329","Scarlet Royal","SCARLET RL","","8/9/2022",""
"A00540","01","2023","0052","362","Adora","ADORA","","8/9/2022",""
"A00540","01","2023","0052","363","Autumn Crisp","AUTM CRISP","","8/9/2022",""
"A00540","01","2023","0052","364","Scarlotta","SCARLOTTA","","8/9/2022",""
"A00540","01","2023","0052","997","No Type Specified","NTS","","8/9/2022",""
"A00540","01","2023","0053","002","Alicante-Bouschet/Alicante","ABALICANTE","","8/9/2022",""
"A00540","01","2023","0053","005","Barbera","BARBERA","","8/9/2022",""
"A00540","01","2023","0053","014","Burger","BRGR","","8/9/2022",""
"A00540","01","2023","0053","015","Cabernet Franc","CABFRANC","","8/9/2022",""
"A00540","01","2023","0053","016","Cabernet Sauvignon","CABSAUV","","8/9/2022",""
"A00540","01","2023","0053","020","Carignane","CARIGNANE","","8/9/2022",""
"A00540","01","2023","0053","021","Carnelian","CRNLN","","8/9/2022",""
"A00540","01","2023","0053","023","Chardonnay","CHRDNY","","8/9/2022",""
"A00540","01","2023","0053","024","Chenin Blanc","CHN BLANC","","8/9/2022",""
"A00540","01","2023","0053","027","Emerald Riesling","EMRDRSLG","","8/9/2022",""
"A00540","01","2023","0053","031","Fiesta","FIESTA","","8/9/2022",""
"A00540","01","2023","0053","032","Flame Seedless","FLM SDLS","","8/9/2022",""
"A00540","01","2023","0053","033","Flame Tokay","FLM TKY","","8/9/2022",""
"A00540","01","2023","0053","036","French Colombard","FRCLMBRD","","8/9/2022",""
"A00540","01","2023","0053","037","Gamay (Napa)/Gamay","GAMAY","","8/9/2022",""
"A00540","01","2023","0053","039","Gewurztraminer","GWZTRMR","","8/9/2022",""
"A00540","01","2023","0053","044","Grenache","GRNCH","","8/9/2022",""
"A00540","01","2023","0053","048","White Malaga","WHTMLGA","","8/9/2022",""
"A00540","01","2023","0053","049","Malvasia Bianca","MLVBNCA","","8/9/2022",""
"A00540","01","2023","0053","050","Mataro/Mourvedre","MTR/MRVD","","8/9/2022",""
"A00540","01","2023","0053","051","Merlot","MERLOT","","8/9/2022",""
"A00540","01","2023","0053","052","Mission","MSSN","","8/9/2022",""
"A00540","01","2023","0053","055","Muscat Blanc/M Canelli","MCBL/MCNL","","8/9/2022",""
"A00540","01","2023","0053","057","Muscat","MUSCAT","","8/9/2022",""
"A00540","01","2023","0053","060","Palomino/G Chasselas","PLM/GCHL","","8/9/2022",""
"A00540","01","2023","0053","064","Petite Sirah","PTSRH","","8/9/2022",""
"A00540","01","2023","0053","066","Pinot Blanc","PNBLC","","8/9/2022",""
"A00540","01","2023","0053","067","Pinot Noir","PNNOR","","8/9/2022",""
"A00540","01","2023","0053","074","Rubired","RBRD","","8/9/2022",""
"A00540","01","2023","0053","076","Ruby Cabernet","RBCAB","","8/9/2022",""
"A00540","01","2023","0053","080","Salvador","SLVDR","","8/9/2022",""
"A00540","01","2023","0053","081","Sauvignon Blanc/Fume Blanc","SVBFMBL","","8/9/2022",""
"A00540","01","2023","0053","083","Semillon","SEMLN","","8/9/2022",""
"A00540","01","2023","0053","085","Sultana","SLTNA","","8/9/2022",""
"A00540","01","2023","0053","088","Thompson Seedless","THMPSDLS","","8/9/2022",""
"A00540","01","2023","0053","092","Tempranillo/Valdepenas","TMPR/VLDP","","8/9/2022",""
"A00540","01","2023","0053","093","White/Johannisberg Riesling","WJHNRLG","","8/9/2022",""
"A00540","01","2023","0053","094","Zinfandel","ZNFNDL","","8/9/2022",""
"A00540","01","2023","0053","095","Other Varieties","OTH VAR","","8/9/2022",""
"A00540","01","2023","0053","096","Symphony","SYMPHY","","8/9/2022",""
"A00540","01","2023","0053","098","Pinot Gris/Pinot Grigio","PNGRI","","8/9/2022",""
"A00540","01","2023","0053","099","Viognier","VIGNR","","8/9/2022",""
"A00540","01","2023","0053","100","Petit Verdot","PTVRD","","8/9/2022",""
"A00540","01","2023","0053","101","Malbec","MLBC","","8/9/2022",""
"A00540","01","2023","0053","113","Red Zinfandel","RDZND","","8/9/2022",""
"A00540","01","2023","0053","119","Albarino","ALBAR","","8/9/2022",""
"A00540","01","2023","0053","151","Meunier","MUNIR","","8/9/2022",""
"A00540","01","2023","0053","161","Group A","GRPA","","8/9/2022",""
"A00540","01","2023","0053","179","Tannat","TANAT","","8/9/2022",""
"A00540","01","2023","0053","196","Syrah/French Syrah-Shiraz","SYR/FSYR","","8/9/2022",""
"A00540","01","2023","0053","199","Niagara","NIAGR","","8/9/2022",""
"A00540","01","2023","0053","200","Concord","CNCRD","","8/9/2022",""
"A00540","01","2023","0053","209","Chambourcin","CHMBN","","8/9/2022",""
"A00540","01","2023","0053","261","Group B","GRPB","","8/9/2022",""
"A00540","01","2023","0053","263","St. Pepin","STPEP","","8/9/2022",""
"A00540","01","2023","0053","264","Brianna","BRINA","","8/9/2022",""
"A00540","01","2023","0053","295","Grenache Blanc","GREBC","","8/9/2022",""
"A00540","01","2023","0053","330","Black Cornith/Zante Currant","BCZC","","8/9/2022",""
"A00540","01","2023","0053","331","Selma Pete","SELMA PETE","","8/9/2022",""
"A00540","01","2023","0053","376","Sangiovese/Sangioveto","SGSG","","8/9/2022",""
"A00540","01","2023","0053","378","Muscadine","MUSCADINE","","8/9/2022",""
"A00540","01","2023","0053","391","Edelweiss","EDLWS","","8/9/2022",""
"A00540","01","2023","0053","410","Norton","NRTON","","8/9/2022",""
"A00540","01","2023","0053","422","Saperavi","SAPV","","8/9/2022",""
"A00540","01","2023","0053","423","Zweigelt","ZWGT","","8/9/2022",""
"A00540","01","2023","0053","463","Frontenac","FRNTC","","8/9/2022",""
"A00540","01","2023","0053","464","Frontenac Gris","FRNGS","","8/9/2022",""
"A00540","01","2023","0053","466","St. Croix","STCRX","","8/9/2022",""
"A00540","01","2023","0053","510","All Other Natives","AON","","8/9/2022",""
"A00540","01","2023","0053","511","Catawba","CATAWA","","8/9/2022",""
"A00540","01","2023","0053","512","Elvira","ELVIRA","","8/9/2022",""
"A00540","01","2023","0053","513","Dutchess","DUTCH","","8/9/2022",""
"A00540","01","2023","0053","514","Isabella","ISBLA","","8/9/2022",""
"A00540","01","2023","0053","515","Diamond","DIMND","","8/9/2022",""
"A00540","01","2023","0053","516","Traminette","TRAMN","","8/9/2022",""
"A00540","01","2023","0053","520","Delaware","DELAWA","","8/9/2022",""
"A00540","01","2023","0053","550","All Other Hybrids","AOH","","8/9/2022",""
"A00540","01","2023","0053","551","Baco Noir","BACO","","8/9/2022",""
"A00540","01","2023","0053","552","Geneva Red 7","GR7","","8/9/2022",""
"A00540","01","2023","0053","553","Dechaunac","DECHAU","","8/9/2022",""
"A00540","01","2023","0053","554","Rosette","ROSETT","","8/9/2022",""
"A00540","01","2023","0053","556","Seyval Blanc","SEYVAL","","8/9/2022",""
"A00540","01","2023","0053","557","Vignoles","VIGNOL","","8/9/2022",""
"A00540","01","2023","0053","558","Aurore","AURORE","","8/9/2022",""
"A00540","01","2023","0053","559","Cayuga White","CAYUGA","","8/9/2022",""
"A00540","01","2023","0053","561","Vidal Blanc","VIDAL","","8/9/2022",""
"A00540","01","2023","0053","562","Vincent","VINCEN","","8/9/2022",""
"A00540","01","2023","0053","563","Chardonel","CHRDNL","","8/9/2022",""
"A00540","01","2023","0053","564","Cascade","CASCAD","","8/9/2022",""
"A00540","01","2023","0053","565","Leon Millot","LEON","","8/9/2022",""
"A00540","01","2023","0053","566","Chancellor","CHANCE","","8/9/2022",""
"A00540","01","2023","0053","567","Valvin Muscat","VALVIN","","8/9/2022",""
"A00540","01","2023","0053","568","Castel","CAST","","8/9/2022",""
"A00540","01","2023","0053","569","Colobel","COLO","","8/9/2022",""
"A00540","01","2023","0053","570","All Other Viniferas","AOV","","8/9/2022",""
"A00540","01","2023","0053","571","Dornfelder","DORN","","8/9/2022",""
"A00540","01","2023","0053","572","Carmine","CAR","","8/9/2022",""
"A00540","01","2023","0053","573","Ives","IVES","","8/9/2022",""
"A00540","01","2023","0053","574","Muscat & Golden","MSGO","","8/9/2022",""
"A00540","01","2023","0053","575","Rougeon","ROU","","8/9/2022",""
"A00540","01","2023","0053","576","Muscat Ottonel","MSCOTL","","8/9/2022",""
"A00540","01","2023","0053","577","Labrusca","LABRU","","8/9/2022",""
"A00540","01","2023","0053","578","Villard Blanc","VILBL","","8/9/2022",""
"A00540","01","2023","0053","579","Melody","MELO","","8/9/2022",""
"A00540","01","2023","0053","580","Noiret","NOIR","","8/9/2022",""
"A00540","01","2023","0053","581","Lemberger","LEMB","","8/9/2022",""
"A00540","01","2023","0053","582","Muller Thurgau","MULLER","","8/9/2022",""
"A00540","01","2023","0053","584","Pinot Noir For Sparkling","PNFSK","","8/9/2022",""
"A00540","01","2023","0053","585","Chelois","CHELO","","8/9/2022",""
"A00540","01","2023","0053","586","St.Vincent","STVIN","","8/9/2022",""
"A00540","01","2023","0053","587","Marechal Foch","MARFO","","8/9/2022",""
"A00540","01","2023","0053","588","Corot Noir","CORNO","","8/9/2022",""
"A00540","01","2023","0053","589","Landot Noir","LANNO","","8/9/2022",""
"A00540","01","2023","0053","590","Other White Varieties","OWV","","8/9/2022",""
"A00540","01","2023","0053","595","Other Red/Pink Varieties","OTHER","","8/9/2022",""
"A00540","01","2023","0053","643","Lacresent","LCRST","","8/9/2022",""
"A00540","01","2023","0053","644","Lacrosse","LCRSE","","8/9/2022",""
"A00540","01","2023","0053","729","Marquette","MRQTE","","8/9/2022",""
"A00540","01","2023","0053","964","Riesling","RISLG","","8/9/2022",""
"A00540","01","2023","0053","978","Roussanne","RUSAN","","8/9/2022",""
"A00540","01","2023","0054","022","Ginger Gold (Fresh)","GNRGL-F","","8/9/2022",""
"A00540","01","2023","0054","023","Golden Supreme & Golden Delicious (Fresh)","GLDSPDDL-F","","8/9/2022",""
"A00540","01","2023","0054","025","Jazz/Scifresh (Fresh)","JZSCI-F","","8/9/2022",""
"A00540","01","2023","0054","030","Pinata/Pinova (Fresh)","PINAT/OV-F","","8/9/2022",""
"A00540","01","2023","0054","086","Aurora Golden Gala (Fresh)","ARGGA-F","","8/9/2022",""
"A00540","01","2023","0054","111","Fresh","FRESH","","8/9/2022",""
"A00540","01","2023","0054","112","Processing","PROCS","","8/9/2022",""
"A00540","01","2023","0054","114","Varietal Group A (Fresh)","VGA FRSH","","8/9/2022",""
"A00540","01","2023","0054","115","Varietal Group B (Fresh)","VGB FRSH","","8/9/2022",""
"A00540","01","2023","0054","116","Varietal Group C (Fresh)","VGC FRSH","","8/9/2022",""
"A00540","01","2023","0054","161","Braeburn (Fresh)","BRABN-F","","8/9/2022",""
"A00540","01","2023","0054","206","Cameo (Fresh)","CAMEO-F","","8/9/2022",""
"A00540","01","2023","0054","213","Envy/Scilate (Fresh)","ENVY/SCL-F","","8/9/2022",""
"A00540","01","2023","0054","214","Pazazz (Fresh)","PZAZZ-F","","8/9/2022",""
"A00540","01","2023","0054","335","Pink Lady/Cripps Pink (Fresh)","PLCRP-F","","8/9/2022",""
"A00540","01","2023","0054","447","Ambrosia (Fresh)","AMBRO-F","","8/9/2022",""
"A00540","01","2023","0054","448","SweeTango/Minneiska (Fresh)","SWTGO-F","","8/9/2022",""
"A00540","01","2023","0054","468","Fuji (Fresh)","FUJI-F","","8/9/2022",""
"A00540","01","2023","0054","469","Gala (Fresh)","GALA-F","","8/9/2022",""
"A00540","01","2023","0054","510","Granny Smith (Fresh)","GRNYS-F","","8/9/2022",""
"A00540","01","2023","0054","571","Honeycrisp (Fresh)","HNYCP-F","","8/9/2022",""
"A00540","01","2023","0054","600","Pacific Rose (Fresh)","PCRSE-F","","8/9/2022",""
"A00540","01","2023","0054","601","Cosmic Crisp/WA 38 (Fresh)","COMCR/WA-F","","8/9/2022",""
"A00540","01","2023","0054","602","Autumn Glory (Fresh)","AUGLY-F","","8/9/2022",""
"A00540","01","2023","0054","611","Jonagold (Fresh)","JNGLD-F","","8/9/2022",""
"A00540","01","2023","0054","740","McIntosh (Fresh)","MCTSH-F","","8/9/2022",""
"A00540","01","2023","0054","944","Red Delicious (Fresh)","REDDL-F","","8/9/2022",""
"A00540","01","2023","0054","950","Rome (Fresh)","REDRM-F","","8/9/2022",""
"A00540","01","2023","0054","951","All Other Varieties (Fresh)","ALLOT-F","","8/9/2022",""
"A00540","01","2023","0055","997","No Type Specified","NTS","","6/17/2022",""
"A00540","01","2023","0057","111","Sweet Cherries (Fresh)","SWCHF","","8/9/2022",""
"A00540","01","2023","0057","112","Sweet Cherries (Processing)","SWCHP","","8/9/2022",""
"A00540","01","2023","0057","113","Sweet Cherries All Other (Processing)","SWCHPO","","8/9/2022",""
"A00540","01","2023","0057","114","Sweet Cherries Canned (Processing)","SCCNPC","","8/9/2022",""
"A00540","01","2023","0057","416","Tart Cherries (Processing)","TRCHP","","8/9/2022",""
"A00540","01","2023","0058","997","No Type Specified","NTS","","8/9/2022",""
"A00540","01","2023","0059","125","Brown Mid-Rib","BMR","","11/16/2022",""
"A00540","01","2023","0059","126","Non-Brown Mid Rib","N-BMR","","11/16/2022",""
"A00540","01","2023","0060","160","Adriatic","A","","8/9/2022",""
"A00540","01","2023","0060","174","Tena (Adriatic)","TENA-ADRTC","","8/9/2022",""
"A00540","01","2023","0060","177","Sierra","SIERRA","","8/9/2022",""
"A00540","01","2023","0060","260","Black Mission","B","","8/9/2022",""
"A00540","01","2023","0060","360","Calimyrna","C","","8/9/2022",""
"A00540","01","2023","0060","460","Kadota","K","","8/9/2022",""
"A00540","01","2023","0062","210","Standard Planting","SP","","11/16/2022",""
"A00540","01","2023","0062","220","Interplanting","I","","11/16/2022",""
"A00540","01","2023","0064","100","Early Season","ES","","11/16/2022",""
"A00540","01","2023","0064","200","Mid Season","MS","","11/16/2022",""
"A00540","01","2023","0064","300","Late Season","LS","","11/16/2022",""
"A00540","01","2023","0064","500","Petite","P","","11/16/2022",""
"A00540","01","2023","0064","600","All Others","O","","11/16/2022",""
"A00540","01","2023","0064","611","Shelled Peas","SHP","","11/16/2022",""
"A00540","01","2023","0064","612","Podded Peas","PDP","","11/16/2022",""
"A00540","01","2023","0064","613","Shelled Early Season","SESP","","11/16/2022",""
"A00540","01","2023","0064","614","Shelled Mid Season","SMSP","","11/16/2022",""
"A00540","01","2023","0064","615","Shelled Late Season","SLSP","","11/16/2022",""
"A00540","01","2023","0064","997","No Type Specified","NTS","","11/16/2022",""
"A00540","01","2023","0066","255","Hybrid Carrot Seed (Winter)","HYCSW","","4/7/2022",""
"A00540","01","2023","0066","256","Hybrid Carrot Seed (Spring)","HYCSS","","4/7/2022",""
"A00540","01","2023","0067","089","Spr Austrian Peas","AP","","6/17/2022",""
"A00540","01","2023","0067","090","Spr Large Kabuli Chickpeas","LKC","","6/17/2022",""
"A00540","01","2023","0067","091","Spr Small Kabuli Chickpeas","SKC","","6/17/2022",""
"A00540","01","2023","0067","092","Spr Desi Chickpeas","DC","","11/16/2022",""
"A00540","01","2023","0067","094","Spr Marrowfat Peas","M","","11/16/2022",""
"A00540","01","2023","0067","095","Spr Forage/Feed Peas For Seed","FFPGS","","11/16/2022",""
"A00540","01","2023","0067","097","Spr Smooth Green Or Yellow","S","","6/17/2022",""
"A00540","01","2023","0067","098","Spr Contract Seed Peas","CSP","","6/17/2022",""
"A00540","01","2023","0067","099","Spr Lentils","L","","6/17/2022",""
"A00540","01","2023","0067","189","Fall Austrian Peas","APF","","6/17/2022",""
"A00540","01","2023","0067","197","Fall Smooth Green Or Yellow","SSF","","6/17/2022",""
"A00540","01","2023","0067","199","Fall Lentils","LF","","6/17/2022",""
"A00540","01","2023","0067","290","Large Kabuli Chickpeas","LKCP","","6/17/2022",""
"A00540","01","2023","0067","424","Fava/Faba","FAVA","","11/16/2022",""
"A00540","01","2023","0069","007","Oriental","ORIENT","","11/16/2022",""
"A00540","01","2023","0069","008","Brown","BRN","","11/16/2022",""
"A00540","01","2023","0069","009","Yellow","YLLW","","11/16/2022",""
"A00540","01","2023","0072","991","Green (Fresh)","GF","","4/7/2022",""
"A00540","01","2023","0072","992","Red (Fresh)","RF","","4/7/2022",""
"A00540","01","2023","0072","993","Green (Proc)","GP","","11/16/2022",""
"A00540","01","2023","0072","994","Red (Proc)","RP","","11/16/2022",""
"A00540","01","2023","0073","056","Deciduous Trees(Shade & Flower)","DT","","12/21/2022",""
"A00540","01","2023","0073","057","Broadleaf Evergreen Trees","BE","","12/21/2022",""
"A00540","01","2023","0073","058","Coniferous Evergreen Trees","CE","","12/21/2022",""
"A00540","01","2023","0073","059","Fruit And Nut Trees","FN","","12/21/2022",""
