"RECORD_TYPE_CODE","RECORD_CATEGORY_CODE","REINSURANCE_YEAR","COMMODITY_CODE","PRACTICE_CODE","PRACTICE_NAME","PRACTICE_ABBREVIATION","LAST_RELEASED_DATE","RELEASED_DATE","DELETED_DATE"
"A00510","01","2023","0017","002","Irrigated","IRRIGATED","","11/16/2022",""
"A00510","01","2023","0019","003","Non-Irrigated","NON IRR","","8/9/2022",""
"A00510","01","2023","0019","702","Organic(Certified) Irr.","IRR OC","","8/9/2022",""
"A00510","01","2023","0019","712","Organic(Transitional) Irr.","IRR OT","","8/9/2022",""
"A00510","01","2023","0020","702","Organic(Certified) Irr.","IRR OC","","8/9/2022",""
"A00510","01","2023","0020","712","Organic(Transitional) Irr.","IRR OT","","8/9/2022",""
"A00510","01","2023","0020","714","Organic(Transitional) Non-Irr.","NON-IRROT","","8/9/2022",""
"A00510","01","2023","0021","003","Non-Irrigated","NON IRR","","11/16/2022",""
"A00510","01","2023","0021","073","Fac (Non-Irrigated Skip Row)","FAC NISR","","11/16/2022",""
"A00510","01","2023","0021","083","Nfac (Non-Irrigated Skip Row)","NFAC-NISR","","11/16/2022",""
"A00510","01","2023","0021","713","Organic(Certified) Non-Irr.","NON-IRROC","","11/16/2022",""
"A00510","01","2023","0021","727","Nfac (Non-Irrigated)(OC)","NFAC-NI-OC","","11/16/2022",""
"A00510","01","2023","0021","732","Fac (Non-Irrigated Skip Row)(OT)","FAC NISROT","","11/16/2022",""
"A00510","01","2023","0021","734","Nfac (Non-Irrigated Skip Row)(OT)","NFACNISROT","","11/16/2022",""
"A00510","01","2023","0023","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0024","250","Standard Density (Irrigated)","STDIR","","8/9/2022",""
"A00510","01","2023","0024","261","Standard Density (Non-Irrigated) (OT)","STNIOT","","8/9/2022",""
"A00510","01","2023","0024","264","High Density (Non-Irrigated) (OT)","HDNIOT","","8/9/2022",""
"A00510","01","2023","0031","702","Organic(Certified) Irr.","IRR OC","","11/16/2022",""
"A00510","01","2023","0031","712","Organic(Transitional) Irr.","IRR OT","","11/16/2022",""
"A00510","01","2023","0032","083","Fall Seeded (Non-Irr)","FALLSDNIRR","","4/14/2022",""
"A00510","01","2023","0032","092","Spring Seeded (Irr.)","SPR SD IRR","","4/14/2022",""
"A00510","01","2023","0032","747","Fall Seeded (Irr.)(OC)","FSD IRR OC","","4/14/2022",""
"A00510","01","2023","0032","749","Spring Seeded(OC)","SPR SD OC","","4/14/2022",""
"A00510","01","2023","0032","754","Spring Seeded (Non-Irr.)(OT)","SS-NI OT","","4/14/2022",""
"A00510","01","2023","0032","821","Fall Seeded (Non-Irr.)(OC)","FSD NI OC","","4/14/2022",""
"A00510","01","2023","0033","002","Irrigated","IRRIGATED","","6/17/2022",""
"A00510","01","2023","0033","712","Organic(Transitional) Irr.","IRR OT","","6/17/2022",""
"A00510","01","2023","0034","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0034","713","Organic(Certified) Non-Irr.","NON-IRROC","","8/9/2022",""
"A00510","01","2023","0034","714","Organic(Transitional) Non-Irr.","NON-IRROT","","8/9/2022",""
"A00510","01","2023","0036","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0039","713","Organic(Certified) Non-Irr.","NON-IRROC","","11/16/2022",""
"A00510","01","2023","0039","714","Organic(Transitional) Non-Irr.","NON-IRROT","","11/16/2022",""
"A00510","01","2023","0041","002","Irrigated","IRRIGATED","","6/17/2022",""
"A00510","01","2023","0041","713","Organic(Certified) Non-Irr.","NON-IRROC","","11/16/2022",""
"A00510","01","2023","0042","002","Irrigated","IRRIGATED","","11/16/2022",""
"A00510","01","2023","0042","714","Organic(Transitional) Non-Irr.","NON-IRROT","","11/16/2022",""
"A00510","01","2023","0043","713","Organic(Certified) Non-Irr.","NON-IRROC","","11/16/2022",""
"A00510","01","2023","0044","220","Winter Planted Irr.","WIN PL IRR","","4/7/2022",""
"A00510","01","2023","0044","702","Organic(Certified) Irr.","IRR OC","","11/16/2022",""
"A00510","01","2023","0044","713","Organic(Certified) Non-Irr.","NON-IRROC","","11/16/2022",""
"A00510","01","2023","0044","714","Organic(Transitional) Non-Irr.","NON-IRROT","","11/16/2022",""
"A00510","01","2023","0044","761","Winter Planted Irr.(OC)","WINPLIRROC","","4/7/2022",""
"A00510","01","2023","0044","763","Spring Planted Irr.(OC)","SPR PLT OC","","4/7/2022",""
"A00510","01","2023","0046","039","Spring Planted Non-Irrigated (OC)","SPR PNIROC","","11/16/2022",""
"A00510","01","2023","0046","043","Fac (Non-Irrigated)","FAC NIRR","","11/16/2022",""
"A00510","01","2023","0046","053","Nfac (Non-Irrigated)","NFAC-NIRR","","11/16/2022",""
"A00510","01","2023","0046","094","Nfac (Irrigated)","NFAC-IRR","","11/16/2022",""
"A00510","01","2023","0046","122","Fall Non Irrigated","FALL NIRR","","11/16/2022",""
"A00510","01","2023","0046","714","Organic(Transitional) Non-Irr.","NON-IRROT","","11/16/2022",""
"A00510","01","2023","0046","833","Spp (Non-Irrigated)(OC)","SPP-NI OC","","11/16/2022",""
"A00510","01","2023","0046","835","Dpp (Non-Irrigated)(OC)","DPP-NI OC","","11/16/2022",""
"A00510","01","2023","0046","837","Spp (Irrigated)(OC)","SPP-I OC","","11/16/2022",""
"A00510","01","2023","0046","849","Spring Non Irrigated(OC)","S-NI OC","","11/16/2022",""
"A00510","01","2023","0046","853","Fall Non Irrigated(OC)","F-NI OC","","11/16/2022",""
"A00510","01","2023","0046","855","Fall Irrigated(OC)","F-I OC","","11/16/2022",""
"A00510","01","2023","0046","984","Spring Planted Irrigated(OT)","SPI OT","","11/16/2022",""
"A00510","01","2023","0047","085","Nibr-I","NIBR-I","","11/16/2022",""
"A00510","01","2023","0047","712","Organic(Transitional) Irr.","IRR OT","","11/16/2022",""
"A00510","01","2023","0047","713","Organic(Certified) Non-Irr.","NON-IRROC","","11/16/2022",""
"A00510","01","2023","0047","726","Fac (Non-Irrigated)(OT)","FAC NI OT","","11/16/2022",""
"A00510","01","2023","0047","727","Nfac (Non-Irrigated)(OC)","NFAC-NI-OC","","11/16/2022",""
"A00510","01","2023","0047","739","Nfac (Irrigated)(OC)","NFAC-IRROC","","11/16/2022",""
"A00510","01","2023","0049","003","Non-Irrigated","NON IRR","","8/9/2022",""
"A00510","01","2023","0049","702","Organic(Certified) Irr.","IRR OC","","8/9/2022",""
"A00510","01","2023","0050","002","Irrigated","IRRIGATED","","11/16/2022",""
"A00510","01","2023","0050","702","Organic(Certified) Irr.","IRR OC","","11/16/2022",""
"A00510","01","2023","0051","003","Non-Irrigated","NON IRR","","11/16/2022",""
"A00510","01","2023","0051","714","Organic(Transitional) Non-Irr.","NON-IRROT","","11/16/2022",""
"A00510","01","2023","0051","726","Fac (Non-Irrigated)(OT)","FAC NI OT","","11/16/2022",""
"A00510","01","2023","0051","728","Nfac (Non-Irrigated)(OT)","NFAC-NI-OT","","11/16/2022",""
"A00510","01","2023","0053","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0053","702","Organic(Certified) Irr.","IRR OC","","8/9/2022",""
"A00510","01","2023","0053","997","No Practice Specified","NPS","","8/9/2022",""
"A00510","01","2023","0054","003","Non-Irrigated","NON IRR","","8/9/2022",""
"A00510","01","2023","0057","003","Non-Irrigated","NON IRR","","8/9/2022",""
"A00510","01","2023","0057","714","Organic(Transitional) Non-Irr.","NON-IRROT","","8/9/2022",""
"A00510","01","2023","0057","724","No Practice Specified (OT)","NPS OT","","8/9/2022",""
"A00510","01","2023","0059","002","Irrigated","IRRIGATED","","11/16/2022",""
"A00510","01","2023","0059","003","Non-Irrigated","NON IRR","","11/16/2022",""
"A00510","01","2023","0059","702","Organic(Certified) Irr.","IRR OC","","11/16/2022",""
"A00510","01","2023","0059","714","Organic(Transitional) Non-Irr.","NON-IRROT","","11/16/2022",""
"A00510","01","2023","0060","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0060","865","Irrigated - Tray Dried(OC)","I-TD OC","","8/9/2022",""
"A00510","01","2023","0060","866","Irrigated - Tray Dried(OT)","I-TD OT","","8/9/2022",""
"A00510","01","2023","0060","868","Irrigated - Natural(OT)","I-N OT","","8/9/2022",""
"A00510","01","2023","0062","002","Irrigated","IRRIGATED","","11/16/2022",""
"A00510","01","2023","0062","723","No Practice Specified (OC)","NPS OC","","11/16/2022",""
"A00510","01","2023","0064","002","Irrigated","IRRIGATED","","11/16/2022",""
"A00510","01","2023","0064","003","Non-Irrigated","NON IRR","","11/16/2022",""
"A00510","01","2023","0064","713","Organic(Certified) Non-Irr.","NON-IRROC","","11/16/2022",""
"A00510","01","2023","0064","723","No Practice Specified (OC)","NPS OC","","11/16/2022",""
"A00510","01","2023","0067","003","Non-Irrigated","NON IRR","","6/17/2022",""
"A00510","01","2023","0067","723","No Practice Specified (OC)","NPS OC","","11/16/2022",""
"A00510","01","2023","0072","033","Early Spring Planted (OC)","ERLSPPTOC","","11/16/2022",""
"A00510","01","2023","0072","130","Fall Direct Seeded Irr.","FALL DSIRR","","4/7/2022",""
"A00510","01","2023","0072","212","Summer Planted","SUMR PLT","","11/16/2022",""
"A00510","01","2023","0072","230","Winter Direct Seeded Irr.","WIN DS IRR","","4/7/2022",""
"A00510","01","2023","0072","240","Winter Transplanted Irr.","WIN TR IRR","","4/7/2022",""
"A00510","01","2023","0072","771","Fall Transplanted Irr.(OC)","FTIRR OC","","4/7/2022",""
"A00510","01","2023","0072","777","Spring Direct Seeded Irr.(OC)","SPRDSIRROC","","4/7/2022",""
"A00510","01","2023","0072","974","Fall Planted(OT)","FP OT","","11/16/2022",""
"A00510","01","2023","0072","983","Spring Planted Irrigated(OC)","SPI OC","","11/16/2022",""
"A00510","01","2023","0073","766","Field Grown(OT)","FLDGR OT","","12/21/2022",""
"A00510","01","2023","0073","767","Container(OC)","CTR OC","","12/21/2022",""
"A00510","01","2023","0074","003","Non-Irrigated","NON IRR","","6/17/2022",""
"A00510","01","2023","0075","002","Irrigated","IRRIGATED","","11/16/2022",""
"A00510","01","2023","0075","003","Non-Irrigated","NON IRR","","11/16/2022",""
"A00510","01","2023","0075","036","Non-Irr. (Spring)","NIRRSPRING","","11/16/2022",""
"A00510","01","2023","0075","714","Organic(Transitional) Non-Irr.","NON-IRROT","","11/16/2022",""
"A00510","01","2023","0075","921","Non-Irr. (Fall)(OC)","NI-F OC","","11/16/2022",""
"A00510","01","2023","0078","003","Non-Irrigated","NON IRR","","11/16/2022",""
"A00510","01","2023","0078","712","Organic(Transitional) Irr.","IRR OT","","11/16/2022",""
"A00510","01","2023","0080","002","Irrigated","IRRIGATED","","11/16/2022",""
"A00510","01","2023","0081","159","Non-Conventional(Non-Irr)(OT)","NC NIOT","","11/16/2022",""
"A00510","01","2023","0081","702","Organic(Certified) Irr.","IRR OC","","11/16/2022",""
"A00510","01","2023","0081","741","Fac (Irrigated)(OC)","FAC IRR OC","","11/16/2022",""
"A00510","01","2023","0081","742","Fac (Irrigated)(OT)","FAC IRR OT","","11/16/2022",""
"A00510","01","2023","0083","771","Fall Transplanted Irr.(OC)","FTIRR OC","","4/7/2022",""
"A00510","01","2023","0084","003","Non-Irrigated","NON IRR","","8/9/2022",""
"A00510","01","2023","0084","181","Fall Planted Early Season Irr.","FLPTERSNIR","","4/7/2022",""
"A00510","01","2023","0084","183","Fall Planted Late Season Irr.","FLPTLTSNIR","","4/7/2022",""
"A00510","01","2023","0084","187","Fall Planted Early Season Irr.(OT)","FPTESNIROT","","4/7/2022",""
"A00510","01","2023","0084","188","Fall Planted Mid Season Irr.(OC)","FPTMSNIROC","","4/7/2022",""
"A00510","01","2023","0084","199","Winter Planted Early Season Irr.(OT)","WPTESNIROT","","8/9/2022",""
"A00510","01","2023","0084","201","Winter Planted Late Season Irr.(OT)","WPTLSNIROT","","8/9/2022",""
"A00510","01","2023","0084","220","Winter Planted Irr.","WIN PL IRR","","6/17/2022",""
"A00510","01","2023","0084","759","Fall Planted Irr.(OC)","FALL PI OC","","6/17/2022",""
"A00510","01","2023","0084","761","Winter Planted Irr.(OC)","WINPLIRROC","","6/17/2022",""
"A00510","01","2023","0084","930","Summer Planted Irr.(OT)","SUPI OT","","8/9/2022",""
"A00510","01","2023","0084","997","No Practice Specified","NPS","","8/9/2022",""
"A00510","01","2023","0086","241","Wtr. Transpltd Irr Staked","WT IRR S","","4/7/2022",""
"A00510","01","2023","0086","503","Irr. Mulch Staked","IRR MS","","11/16/2022",""
"A00510","01","2023","0086","702","Organic(Certified) Irr.","IRR OC","","8/9/2022",""
"A00510","01","2023","0086","723","No Practice Specified (OC)","NPS OC","","11/16/2022",""
"A00510","01","2023","0086","724","No Practice Specified (OT)","NPS OT","","11/16/2022",""
"A00510","01","2023","0086","792","Spr. Transpltd Irr Staked(OT)","STIRRS OT","","4/7/2022",""
"A00510","01","2023","0086","934","Fall Transpltd Irr Unmulch Staked(OT)","FTIUS OT","","8/9/2022",""
"A00510","01","2023","0086","939","Spr Transpltd Irr Unmulch Stake(OC)","344 OC","","8/9/2022",""
"A00510","01","2023","0087","061","Transplanted For Hand Harvest","TRANS FHH","","11/16/2022",""
"A00510","01","2023","0087","115","Late (Irrigated)","LATE (IRR)","","11/16/2022",""
"A00510","01","2023","0087","702","Organic(Certified) Irr.","IRR OC","","8/9/2022",""
"A00510","01","2023","0087","723","No Practice Specified (OC)","NPS OC","","11/16/2022",""
"A00510","01","2023","0087","842","Early (Non-Irrigated)(OT)","E - NI OT","","11/16/2022",""
"A00510","01","2023","0087","847","Late (Irrigated)(OC)","L - I OC","","11/16/2022",""
"A00510","01","2023","0087","848","Late (Irrigated)(OT)","L - I OT","","11/16/2022",""
"A00510","01","2023","0087","948","Transplanted For Hand Harvest(OT)","THH OT","","11/16/2022",""
"A00510","01","2023","0087","949","Transplanted Machine Harvest(OC)","TMH OC","","11/16/2022",""
"A00510","01","2023","0087","950","Transplanted Machine Harvest(OT)","TMH OT","","11/16/2022",""
"A00510","01","2023","0088","425","Jan - Feb Index Interval (Irrigated)","JANFEBIRR","","8/24/2022",""
"A00510","01","2023","0088","430","Jun - Jul Index Interval (Irrigated)","JUNJULIRR","","8/24/2022",""
"A00510","01","2023","0088","468","Apr - May Index Interval (Irr) (OC)","APRMAYIROC","","8/30/2022",""
"A00510","01","2023","0088","486","Feb - Mar Index Interval (Irr) (OT)","FEBMARIROT","","8/30/2022",""
"A00510","01","2023","0088","493","Sep - Oct Index Interval (Irr) (OT)","SEPOCTIROT","","8/30/2022",""
"A00510","01","2023","0088","494","Oct - Nov Index Interval (Irr) (OT)","OCTNOVIROT","","8/30/2022",""
"A00510","01","2023","0088","525","Jan - Feb Index Interval (Non-Irrigated)","JANFEBNIRR","","8/24/2022",""
"A00510","01","2023","0088","526","Feb - Mar Index Interval (Non-Irrigated)","FEBMARNIRR","","8/24/2022",""
"A00510","01","2023","0088","529","May - Jun Index Interval (Non-Irrigated)","MAYJUNNIRR","","8/24/2022",""
"A00510","01","2023","0088","531","Jul - Aug Index Interval (Non-Irrigated)","JULAUGNIRR","","8/24/2022",""
"A00510","01","2023","0088","532","Aug - Sep Index Interval (Non-Irrigated)","AUGSEPNIRR","","8/24/2022",""
"A00510","01","2023","0088","533","Sep - Oct Index Interval (Non-Irrigated)","SEPOCTNIRR","","8/24/2022",""
"A00510","01","2023","0088","566","Feb - Mar Index Interval (Non-Irr) (OC)","FEBMARNIOC","","8/24/2022",""
"A00510","01","2023","0088","567","Mar - Apr Index Interval (Non-Irr) (OC)","MARAPRNIOC","","8/24/2022",""
"A00510","01","2023","0088","569","May - Jun Index Interval (Non-Irr) (OC)","MAYJUNNIOC","","8/24/2022",""
"A00510","01","2023","0088","585","Jan - Feb Index Interval (Non-Irr) (OT)","JANFEBNIOT","","8/24/2022",""
"A00510","01","2023","0088","589","May - Jun Index Interval (Non-Irr) (OT)","MAYJUNNIOT","","8/24/2022",""
"A00510","01","2023","0088","592","Aug - Sep Index Interval (Non-Irr) (OT)","AUGSEPNIOT","","8/24/2022",""
"A00510","01","2023","0088","627","Mar - Apr Index Interval","MAR-APRINT","","8/24/2022",""
"A00510","01","2023","0088","629","May - Jun Index Interval","MAY-JUNINT","","8/24/2022",""
"A00510","01","2023","0088","631","Jul - Aug Index Interval","JUL-AUGINT","","8/24/2022",""
"A00510","01","2023","0088","635","Nov - Dec Index Interval","NOV-DECINT","","8/24/2022",""
"A00510","01","2023","0089","714","Organic(Transitional) Non-Irr.","NON-IRROT","","8/9/2022",""
"A00510","01","2023","0091","002","Irrigated","IRRIGATED","","6/17/2022",""
"A00510","01","2023","0091","716","Continuous Cropping(OT)","CONTCROPOT","","6/17/2022",""
"A00510","01","2023","0092","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0092","712","Organic(Transitional) Irr.","IRR OT","","8/9/2022",""
"A00510","01","2023","0092","713","Organic(Certified) Non-Irr.","NON-IRROC","","8/9/2022",""
"A00510","01","2023","0093","712","Organic(Transitional) Irr.","IRR OT","","11/16/2022",""
"A00510","01","2023","0094","702","Organic(Certified) Irr.","IRR OC","","6/17/2022",""
"A00510","01","2023","0094","714","Organic(Transitional) Non-Irr.","NON-IRROT","","6/17/2022",""
"A00510","01","2023","0094","723","No Practice Specified (OC)","NPS OC","","6/17/2022",""
"A00510","01","2023","0094","724","No Practice Specified (OT)","NPS OT","","6/17/2022",""
"A00510","01","2023","0102","714","Organic(Transitional) Non-Irr.","NON-IRROT","","6/17/2022",""
"A00510","01","2023","0105","714","Organic(Transitional) Non-Irr.","NON-IRROT","","11/16/2022",""
"A00510","01","2023","0107","302","Spring Pltd Seed-To-Seed (Irr)","SPSTS IRR","","6/17/2022",""
"A00510","01","2023","0107","959","Established Stand (Irr)(OC)","EI OC","","6/17/2022",""
"A00510","01","2023","0114","714","Organic(Transitional) Non-Irr.","NON-IRROT","","11/16/2022",""
"A00510","01","2023","0114","742","Fac (Irrigated)(OT)","FAC IRR OT","","11/16/2022",""
"A00510","01","2023","0132","035","Spring Planted Non-Irrigated","SPR PNIRR","","11/16/2022",""
"A00510","01","2023","0132","706","Summer Planted Irrigated","SUMRPLTIRR","","11/16/2022",""
"A00510","01","2023","0132","986","Summer Planted Irrigated(OT)","SUPI OT","","11/16/2022",""
"A00510","01","2023","0147","702","Organic(Certified) Irr.","IRR OC","","11/16/2022",""
"A00510","01","2023","0154","986","Summer Planted Irrigated(OT)","SUPI OT","","4/7/2022",""
"A00510","01","2023","0156","712","Organic(Transitional) Irr.","ORGTRANSIR","","11/16/2022",""
"A00510","01","2023","0158","002","Irrigated","IRRIGATED","","6/24/2022",""
"A00510","01","2023","0158","004","Continuous Cropping","CONT CROP","","6/24/2022",""
"A00510","01","2023","0158","005","Summerfallow","SUMRFALLOW","","6/24/2022",""
"A00510","01","2023","0158","712","Organic(Transitional) Irr.","IRR OT","","6/24/2022",""
"A00510","01","2023","0184","265","Standard Density Stage 1 (Irr)","SDS1IRR","","12/21/2022",""
"A00510","01","2023","0184","270","High Density Stage 1 (Irr) (OT)","HDS1IOT","","12/21/2022",""
"A00510","01","2023","0184","274","High Density Stage 2 (Irr)","HDS2IRR","","12/21/2022",""
"A00510","01","2023","0192","255","High Density (Irrigated) (OT)","HDIOT","","8/9/2022",""
"A00510","01","2023","0193","702","Organic(Certified) Irr.","IRR OC","","6/17/2022",""
"A00510","01","2023","0193","712","Organic(Transitional) Irr.","IRR OT","","6/17/2022",""
"A00510","01","2023","0201","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0201","066","High Density","HGHDNY","","8/9/2022",""
"A00510","01","2023","0201","284","Standard Density (OT)","STDDNY OT","","8/9/2022",""
"A00510","01","2023","0201","723","No Practice Specified (OC)","NPS OC","","12/21/2022",""
"A00510","01","2023","0201","997","No Practice Specified","NPS","","12/21/2022",""
"A00510","01","2023","0202","283","Standard Density (OC)","STDDNY OC","","8/9/2022",""
"A00510","01","2023","0202","284","Standard Density (OT)","STDDNY OT","","8/9/2022",""
"A00510","01","2023","0203","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0203","065","Standard Density","STDDNY","","8/9/2022",""
"A00510","01","2023","0203","283","Standard Density (OC)","STDDNY OC","","8/9/2022",""
"A00510","01","2023","0203","284","Standard Density (OT)","STDDNY OT","","8/9/2022",""
"A00510","01","2023","0203","997","No Practice Specified","NPS","","12/21/2022",""
"A00510","01","2023","0207","250","Standard Density (Irrigated)","STDIR","","8/9/2022",""
"A00510","01","2023","0207","724","No Practice Specified (OT)","NPS OT","","12/21/2022",""
"A00510","01","2023","0207","997","No Practice Specified","NPS","","12/21/2022",""
"A00510","01","2023","0208","250","Standard Density (Irrigated)","STDIR","","8/9/2022",""
"A00510","01","2023","0208","702","Organic(Certified) Irr.","IRR OC","","6/17/2022",""
"A00510","01","2023","0209","251","Standard Density (Irrigated) (OC)","STIOC","","8/9/2022",""
"A00510","01","2023","0209","252","Standard Density (Irrigated) (OT)","STIOT","","8/9/2022",""
"A00510","01","2023","0209","724","No Practice Specified (OT)","NPS OT","","12/21/2022",""
"A00510","01","2023","0209","997","No Practice Specified","NPS","","12/21/2022",""
"A00510","01","2023","0210","250","Standard Density (Irrigated)","STDIR","","6/17/2022",""
"A00510","01","2023","0210","252","Standard Density (Irrigated) (OT)","STIOT","","6/17/2022",""
"A00510","01","2023","0210","723","No Practice Specified (OC)","NPS OC","","12/21/2022",""
"A00510","01","2023","0212","723","No Practice Specified (OC)","NPS OC","","12/21/2022",""
"A00510","01","2023","0212","997","No Practice Specified","NPS","","12/21/2022",""
"A00510","01","2023","0213","997","No Practice Specified","NPS","","12/21/2022",""
"A00510","01","2023","0214","723","No Practice Specified (OC)","NPS OC","","12/21/2022",""
"A00510","01","2023","0219","702","Organic(Certified) Irr.","IRR OC","","8/9/2022",""
"A00510","01","2023","0220","702","Organic(Certified) Irr.","IRR OC","","8/9/2022",""
"A00510","01","2023","0220","712","Organic(Transitional) Irr.","IRR OT","","8/9/2022",""
"A00510","01","2023","0221","712","Organic(Transitional) Irr.","IRR OT","","8/9/2022",""
"A00510","01","2023","0222","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0222","712","Organic(Transitional) Irr.","IRR OT","","8/9/2022",""
"A00510","01","2023","0227","065","Standard Density","STDDNY","","8/9/2022",""
"A00510","01","2023","0227","066","High Density","HGHDNY","","8/9/2022",""
"A00510","01","2023","0227","385","High Density (OC)","HGHDNY OC","","12/21/2022",""
"A00510","01","2023","0227","702","Organic(Certified) Irr.","IRR OC","","8/9/2022",""
"A00510","01","2023","0227","712","Organic(Transitional) Irr.","IRR OT","","8/9/2022",""
"A00510","01","2023","0229","003","Non-Irrigated","NON IRR","","11/16/2022",""
"A00510","01","2023","0229","702","Organic(Certified) Irr.","IRR OC","","11/16/2022",""
"A00510","01","2023","0229","712","Organic(Transitional) Irr.","IRR OT","","11/16/2022",""
"A00510","01","2023","0230","723","No Practice Specified (OC)","NPS OC","","11/16/2022",""
"A00510","01","2023","0234","724","No Practice Specified (OT)","NPS OT","","11/16/2022",""
"A00510","01","2023","0235","997","No Practice Specified","NPS","","11/16/2022",""
"A00510","01","2023","0255","017","Mid Harvest Period","MID HARV","","8/9/2022",""
"A00510","01","2023","0255","966","Early Harvest Period(OT)","EHP OT","","8/9/2022",""
"A00510","01","2023","0255","967","Mid Harvest Period(OC)","MHP OC","","8/9/2022",""
"A00510","01","2023","0255","969","Late Harvest Period(OC)","LHP OC","","8/9/2022",""
"A00510","01","2023","0255","971","All Year Harvest Period(OC)","AYHP OC","","8/9/2022",""
"A00510","01","2023","0255","972","All Year Harvest Period(OT)","AYHP OT","","8/9/2022",""
"A00510","01","2023","0256","723","No Practice Specified (OC)","NPS OC","","8/9/2022",""
"A00510","01","2023","0265","724","No Practice Specified (OT)","NPS OT","","8/9/2022",""
"A00510","01","2023","0267","997","No Practice Specified","NPS","","8/9/2022",""
"A00510","01","2023","0308","250","Standard Density (Irrigated)","STDIR","","8/9/2022",""
"A00510","01","2023","0308","252","Standard Density (Irrigated) (OT)","STIOT","","8/9/2022",""
"A00510","01","2023","0308","254","High Density (Irrigated) (OC)","HDIOC","","8/9/2022",""
"A00510","01","2023","0309","066","High Density","HGHDNY","","8/9/2022",""
"A00510","01","2023","0309","724","No Practice Specified (OT)","NPS OT","","12/21/2022",""
"A00510","01","2023","0332","655","GS-1 Sep - Oct Index Interval","GS1SEP-OCT","","4/26/2022",""
"A00510","01","2023","0332","657","GS-1 Oct - Nov Index Interval","GS1OCT-NOV","","4/26/2022",""
"A00510","01","2023","0332","662","GS-1 Jan - Feb Index Interval","GS1JAN-FEB","","4/26/2022",""
"A00510","01","2023","0332","667","GS-3 Mar - Apr Index Interval","GS3MAR-APR","","4/26/2022",""
"A00510","01","2023","0332","670","GS-2 May - Jun Index Interval","GS2MAY-JUN","","4/26/2022",""
"A00510","01","2023","0332","677","GS-4 Aug - Sep Index Interval","GS4AUG-SEP","","4/26/2022",""
"A00510","01","2023","0332","680","GS-3 Mar - Sep Index Interval","GS3MAR-SEP","","4/26/2022",""
